movie_name,release_date,earning
Deep Impact,2013,"$349,464,664"
The Lorax,2004,"$349,183,316"
The Maze Runner,2001,"$348,319,861"
The Smurfs 2,2016,"$347,545,360"
National Treasure,2017,"$347,512,318"
Rush Hour 2,1995,"$347,325,802"
Trolls,2000,"$347,182,886"
xXx: Return of Xander Cage,2016,"$346,118,277"
Pocahontas,2011,"$346,079,773"
How the Grinch Stole Christmas,2008,"$345,823,032"
Star Trek Beyond,1994,"$343,471,816"
Alvin and the Chipmunks: Chipwrecked,2018,"$342,695,435"
Wanted,2007,"$342,463,063"
The Flintstones,2006,"$341,631,208"
A Quiet Place,2014,"$340,952,971"
Enchanted,1995,"$340,487,836"
Over the Hedge,2009,"$339,795,890"
300: Rise of an Empire,2008,"$337,580,051"
Batman Forever,2012,"$336,567,158"
Prince of Persia: The Sands of Time,1996,"$336,365,676"
The Curious Case of Benjamin Button,2016,"$335,802,786"
Journey 2: The Mysterious Island,2016,"$335,287,748"
The Rock,2017,"$335,062,621"
The Great Wall,2005,"$334,933,831"
Now You See Me 2,1984,"$334,897,606"
Never Say Die,1997,"$334,530,869"
Fantastic Four,1989,"$333,535,934"
Indiana Jones and the Temple of Doom,2015,"$333,107,271"
Tomorrow Never Dies,2021,"$333,011,068"
Back to the Future Part II,2014,"$332,500,002"
The Good Dinosaur,2000,"$332,207,671"
Free Guy,1988,"$331,526,598"
22 Jump Street,2010,"$331,333,876"
Meet the Parents,2000,"$330,444,045"
Who Framed Roger Rabbit,2019,"$329,803,958"
Black Swan,1986,"$329,398,046"
The Perfect Storm,2019,"$328,718,434"
John Wick: Chapter 3 - Parabellum,1995,"$328,349,387"
Crocodile Dundee,2006,"$328,203,506"
Crazy Alien,2015,"$327,598,891"
Se7en,1996,"$327,333,559"
The Devil Wears Prada,2009,"$326,706,115"
Taken 3,2015,"$326,479,141"
The Hunchback of Notre Dame,1993,"$325,338,851"
A Christmas Carol,2010,"$325,286,646"
The SpongeBob Movie: Sponge Out of Water,2016,"$325,186,032"
Schindler's List,2018,"$322,161,245"
Megamind,1992,"$321,885,765"
The Conjuring 2,2010,"$321,834,351"
Green Book,2009,"$321,752,656"
Lethal Weapon 3,1996,"$321,731,527"
Robin Hood,2013,"$321,669,741"
Inglourious Basterds,1987,"$321,457,747"
101 Dalmatians,2020,"$320,689,294"
The Conjuring,2010,"$320,406,242"
Fatal Attraction,2009,"$320,145,693"
Sonic the Hedgehog,2004,"$319,715,683"
The Last Airbender,2001,"$319,713,881"
The Proposal,1984,"$317,375,031"
The Polar Express,1997,"$316,897,787"
A Beautiful Mind,2017,"$316,791,257"
Beverly Hills Cop,2012,"$316,360,478"
Air Force One,2005,"$315,156,409"
Wonder,1997,"$315,025,930"
The Expendables 2,2019,"$314,975,955"
Chicken Little,2015,"$314,432,837"
As Good as It Gets,2016,"$314,178,011"
Knives Out,2017,"$312,897,920"
Maze Runner: The Scorch Trials,1999,"$312,296,056"
Resident Evil: The Final Chapter,2007,"$312,242,626"
The Lego Batman Movie,2010,"$312,136,671"
Austin Powers: The Spy Who Shagged Me,2008,"$312,016,928"
Ocean's Thirteen,1996,"$311,312,624"
Little Fockers,1999,"$310,650,585"
Bolt,2009,"$309,979,994"
Ransom,2017,"$309,492,681"
Runaway Bride,2014,"$309,460,292"
The Blind Side,2006,"$309,231,694"
The Ex-File 3: The Return of The Exes,2012,"$307,592,427"
The Fault in Our Stars,1977,"$307,166,834"
The Pursuit of Happyness,2002,"$307,127,625"
Rise of the Guardians,2017,"$306,941,670"
Close Encounters of the Third Kind,2011,"$306,889,114"
Chicago,2018,"$306,776,732"
Annabelle: Creation,2013,"$306,515,884"
Bridesmaids,1998,"$306,442,085"
Skyscraper,2016,"$304,868,961"
A Good Day to Die Hard,2016,"$304,654,182"
Mulan,2012,"$304,320,254"
Dangal,1997,"$303,723,636"
Passengers,2009,"$303,144,152"
Battleship,2012,"$303,025,485"
Liar Liar,2007,"$302,710,615"
G.I. Joe: The Rise of Cobra,1991,"$302,469,017"
Wrath of the Titans,1978,"$301,970,083"
Fantastic Four: Rise of the Silver Surfer,1985,"$301,913,131"
Hook,1985,"$300,854,823"
Superman,2010,"$300,478,449"
Rocky IV,2004,"$300,473,716"
Rambo: First Blood Part II,1999,"$300,400,432"
Resident Evil: Afterlife,1987,"$300,228,084"
Van Helsing,2016,"$300,157,638"
Stuart Little,1997,"$300,135,367"
Beverly Hills Cop II,2011,"$299,965,036"
Alice Through the Looking Glass,2008,"$299,820,798"
My Best Friend's Wedding,2018,"$299,288,605"
Real Steel,2021,"$299,268,508"
Horton Hears a Who!,2015,"$298,572,799"
Ocean's Eight,1989,"$297,795,726"
A Quiet Place Part II,2002,"$297,372,261"
The Divergent Series: Insurgent,1984,"$297,002,527"
Look Who's Talking,2016,"$296,999,813"
Austin Powers in Goldmember,2000,"$296,938,801"
Ghostbusters,2017,"$296,578,797"
Miss Peregrine's Home for Peculiar Children,2010,"$296,482,446"
X-Men,1998,"$296,339,528"
Ferdinand,2007,"$296,069,199"
Shutter Island,2010,"$294,805,697"
Doctor Dolittle,2009,"$294,456,605"
Bee Movie,2006,"$293,514,336"
Salt,2000,"$293,503,354"
G-Force,2018,"$292,817,898"
The Departed,2004,"$291,480,452"
What Lies Beneath,2010,"$291,420,351"
Pacific Rim: Uprising,1998,"$290,930,148"
The Bourne Supremacy,2014,"$290,835,269"
Sex and the City 2,1988,"$290,745,055"
Shakespeare in Love,2005,"$289,317,794"
Divergent,2018,"$288,885,818"
Coming to America,1995,"$288,752,301"
Wedding Crashers,2001,"$288,485,135"
Maze Runner: The Death Cure,2022,"$288,175,335"
Casper,2015,"$287,928,194"
American Pie 2,1999,"$287,553,595"
Elvis,2013,"$287,340,048"
Pitch Perfect 2,2013,"$287,144,079"
The Green Mile,1998,"$286,801,374"
Oblivion,2012,"$286,168,572"
Elysium,2013,"$286,140,700"
Lethal Weapon 4,2014,"$285,444,603"
John Carter,2001,"$284,139,100"
Turbo,2010,"$282,570,682"
Paddington,2017,"$282,377,683"
Bridget Jones's Diary,2000,"$281,995,610"
The Tourist,2002,"$278,780,441"
Split,2012,"$278,454,417"
Scary Movie,2014,"$278,019,771"
xXx,2002,"$277,448,382"
The Bourne Legacy,2012,"$276,144,750"
Mr. Peabody & Sherman,2001,"$275,698,039"
Scooby-Doo,2018,"$275,678,613"
Lincoln,2010,"$275,293,450"
Lara Croft: Tomb Raider,2013,"$274,703,340"
Tomb Raider,1996,"$274,650,803"
The Expendables,1996,"$274,470,394"
Cloudy with a Chance of Meatballs 2,2003,"$274,325,949"
The Nutty Professor,2002,"$273,961,019"
Jerry Maguire,1991,"$273,552,592"
Bad Boys II,2010,"$273,339,556"
Lilo & Stitch,2014,"$273,144,151"
The Silence of the Lambs,1993,"$272,742,922"
Grown Ups,2012,"$271,457,301"
Neighbors,2008,"$270,665,134"
The Firm,2008,"$270,248,367"
We're the Millers,2007,"$269,994,119"
Gran Torino,2013,"$269,958,228"
"10,000 BC",2014,"$269,784,201"
American Gangster,2017,"$269,755,430"
Epic,2009,"$268,426,634"
